price with dis,name,link,ID,discount,original pr,rewies count,Gender:,Clothes Type:,Style:,Occasions:,Fit Type:,Collar:,Length:,Sleeve Length:,Pattern Type:,Embellishment:
USD18.99,Flocking Lining Knit Sweatshirt O Ring A Quarter Zip Stand Collar Heathered Sweatshirt,https://www.dresslily.com/flocking-lining-knit-sweatshirt-o-product8459850.html,506127503,43%,33.49,, For Men , Sweatshirts ,"Casual,Fashion",Daily,Regular Fit,Stand Collar,Regular,Long Sleeves,Others,Zip Front
USD32.99,Drawstring Color Block Zip Up Hoodie,https://www.dresslily.com/drawstring-color-block-zip-up-product7886637.html,374122303,46%,61.48,,,,Fashion,,,,,Full,,
USD36.99,Color Block Drawstring Long Sleeve Hoodie,https://www.dresslily.com/color-block-drawstring-long-sleeve-product7886641.html,375792103,45%,67.74,,, Hoodie ,Fashion,,Regular,,,Full,,
USD26.99,Hooded Camouflage Splicing Embroidered Zip-Up Hoodie,https://www.dresslily.com/hooded-long-sleeve-hoodie-product1752287.html,198821404,56%,61.18,,,, Fashion ,,,,,Full,,
USD24.99,Front Pocket Geometric 3D Print Hoodie,https://www.dresslily.com/front-pocket-geometric-3d-print-product8378464.html,475461602,47%,47.38,,, Hoodie ,Fashion,,Regular,,,Full,,
USD18.99,Pintuck Detail Raglan Sleeve Hoodie,https://www.dresslily.com/pintuck-detail-raglan-sleeve-hoodie-product8380905.html,475567108,51%,38.73,,, Hoodie ,Casual,,Regular,,,Full,,
USD29.99,Landscape Print Pullover Hoodie,https://www.dresslily.com/landscape-print-pullover-hoodie-product7094097.html,366070804,44%,54.01,1,,, Casual ,,Regular,,,Full,,
USD28.99,Kangaroo Pocket Dashiki Print Drawstring Hoodie,https://www.dresslily.com/kangaroo-pocket-dashiki-print-drawstring-product8365078.html,473944111,36%,45.49,,, Hoodie ,Casual,,Regular,,,Full,,
USD19.99,Contrast Color Pullover Hoodie,https://www.dresslily.com/contrast-color-pullover-hoodie-product4170301.html,279457902,39%,32.99,2,, Hoodie ,Casual,,Regular,,,Full,,
USD32.99,Pumpkin Print Halloween Pullover Hoodie,https://www.dresslily.com/pumpkin-print-halloween-pullover-hoodie-product3299814.html,277483803,39%,53.99,,, Hoodie ,Fashion,,Regular,,,Full,,
USD29.99,Pocket 3D Bananas Printed Hoodie,https://www.dresslily.com/pocket-3d-bananas-printed-hoodie-product2901388.html,256935201,38%,48.50,1,, Hoodie ,Fashion,,,,,Full,,
USD32.99,Kangaroo Pocket Pintuck Detail Fleece Hoodie,https://www.dresslily.com/kangaroo-pocket-pintuck-detail-fleece-product8373807.html,475244311,41%,55.89,2,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Ethnic Geometric Print Raglan Sleeve Hoodie,https://www.dresslily.com/ethnic-geometric-print-raglan-sleeve-product5293640.html,279332801,46%,53.64,1,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Colorful Fire Flame Print Hoodie Kangaroo Pocket Drawstring Casual Hoodie,https://www.dresslily.com/colorful-fire-flame-print-hoodie-product8455716.html,505561505,42%,50.31,, For Men , Hoodies ,"Casual,Fashion",Daily,Regular Fit,Hooded,Regular,Long Sleeves,Flame,Front Pocket
USD19.99,Long Sleeve Hoodie Asymmetrical Hem Pullover Longline Sweatshirt With Hood,https://www.dresslily.com/long-sleeve-hoodie-asymmetrical-hem-product8453813.html,504718103,44%,35.74,, For Men , Hoodies ,"Casual,Fashion","Daily,Outdoor",,Hooded,,Long Sleeves,Others,
USD29.99,Panel Drawstring Pullover Hoodie,https://www.dresslily.com/panel-drawstring-pullover-hoodie-product6372593.html,278082404,48%,57.99,1,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Oil Paint Mona Lisa Pattern Front Pocket Lounge Hoodie,https://www.dresslily.com/oil-paint-mona-lisa-pattern-product8351855.html,471246806,32%,42.89,2,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Flower Pattern Pullover Front Pocket Hoodie,https://www.dresslily.com/flower-pattern-pullover-front-pocket-product8351867.html,471254306,40%,48.29,1,, Hoodie ,Casual,,Regular,,,Full,,
USD26.99,Fire Pattern Casual Pouch Pocket Hoodie,https://www.dresslily.com/fire-pattern-casual-pouch-pocket-product8352475.html,471247902,44%,48.50,1,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Contrast Pigeons Print Front Pocket Casual Hoodie,https://www.dresslily.com/contrast-pigeons-print-front-pocket-product8352483.html,471248804,45%,53.18,1,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Volcano Cat Pattern Casual Front Pocket Hoodie,https://www.dresslily.com/volcano-cat-pattern-casual-front-product8351860.html,471247605,41%,49.16,,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Halloween Graffiti Pumpkin Print Leisure Pullover Hoodie,https://www.dresslily.com/halloween-graffiti-pumpkin-print-leisure-product8352065.html,471686202,45%,52.78,,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Geometric Pattern Wood Grain Print Casual Hoodie,https://www.dresslily.com/geometric-pattern-wood-grain-print-product8352496.html,471051505,47%,54.38,,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Colorful Diamond Geo Print Front Pocket Hoodie,https://www.dresslily.com/colorful-diamond-geo-print-front-product8352502.html,471054706,47%,54.93,1,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,3D Piano Print Kangaroo Pocket Hoodie,https://www.dresslily.com/3d-piano-print-kangaroo-pocket-product8352555.html,471622904,47%,54.58,,, Hoodie ,Fashion,,Regular,,,Full,,
USD28.99,Starry Sky Flower Print Kangaroo Pocket Hoodie,https://www.dresslily.com/starry-sky-flower-print-kangaroo-product8353007.html,471609705,48%,55.63,,, Hoodie ,Fashion,,Regular,,,Full,,
USD28.99,Floral Cattle Graphic Front Pocket Drawstring Hoodie,https://www.dresslily.com/floral-cattle-graphic-front-pocket-product8353427.html,471617202,41%,49.34,,, Hoodie ,Fashion,,Regular,,,Full,,
USD28.99,Galaxy Print Front Pocket Hoodie,https://www.dresslily.com/galaxy-print-front-pocket-hoodie-product8353421.html,471602401,36%,45.49,1,, Hoodie ,Fashion,,Regular,,,Full,,
USD24.99,Contrast Circle Print Kangaroo Pocket Hoodie,https://www.dresslily.com/contrast-circle-print-kangaroo-pocket-product8354136.html,473352906,53%,52.78,,, Hoodie ,Casual,,Regular,,,Full,,
USD24.99,Fire Animal Print Kangaroo Pocket Hoodie,https://www.dresslily.com/fire-animal-print-kangaroo-pocket-product8354143.html,473355601,50%,49.81,,, Hoodie ,Casual,,Regular,,,Full,,
USD24.99,Colorful Allover Print Kangaroo Pocket Hoodie,https://www.dresslily.com/colorful-allover-print-kangaroo-pocket-product8354605.html,473358401,48%,47.84,,, Hoodie ,Casual,,Regular,,,Full,,
USD24.99,Balls 3D Print Kangaroo Pocket Hoodie,https://www.dresslily.com/balls-3d-print-kangaroo-pocket-product8354153.html,473359205,43%,43.88,,, Hoodie ,Casual,,Regular,,,Full,,
USD24.99,Contrast Animal Print Kangaroo Pocket Hoodie,https://www.dresslily.com/contrast-animal-print-kangaroo-pocket-product8355681.html,473343701,52%,52.12,2,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Diamond Geo Print Casual Hoodie,https://www.dresslily.com/diamond-geo-print-casual-hoodie-product8350666.html,471051804,49%,56.59,,, Hoodie ,Casual,,Regular,,,Full,,
USD28.99,Abstract City Building Print Pullover Hoodie,https://www.dresslily.com/abstract-city-building-print-pullover-product8357743.html,473550905,38%,46.85,2,, Hoodie ,Casual,,Regular,,,Full,,
